id,price,avg_bill,middle_avg_bill,middle_coffee_cup
421a08fcf5bc93c9620f00c26c63948a,средние,Средний счёт:от 1350 ₽,1350.0,
b8b9b8dd1703a96e28799a09739d1c86,средние,Средний счёт:1150–1250 ₽,1200.0,
8747bfbe9dd71f78b1809bb95095d9aa,,Средний счёт:1750–1850 ₽,1800.0,
7dbeeb6c40e84bd21db6e0060b520314,выше среднего,Средний счёт:600–700 ₽,650.0,
a3c01e2047c40e252d25bebc3913b2ac,средние,Средний счёт:600–700 ₽,650.0,
d3314d5b0ba34b10f32757ced0838ea1,низкие,Цена чашки капучино:172–202 ₽,,187.0
14c60581ce01cc609e24ee356dc2ffd9,,Средний счёт:1000–1100 ₽,1050.0,
c48cf438af5c19f94c66733814cff29a,выше среднего,Средний счёт:от 2650 ₽,2650.0,
dd3eef4c1f9ea8eb711654c3a71c8bc0,выше среднего,Средний счёт:от 950 ₽,950.0,
fa00284b1fee6be44647f160fcec1d42,средние,Средний счёт:от 400 ₽,400.0,
5bae0124abea4b540aec8e70b7ed70dc,выше среднего,Средний счёт:900–1000 ₽,950.0,
b9e9213f187f41991e93ea1530257428,ниже среднего,,,
7fbb643847973bf296b429b35922001d,выше среднего,Средний счёт:750–850 ₽,800.0,
0888e1b94844416765095757299caf9c,средние,,,
874a215f778e721b6f15c031e399f089,ниже среднего,,,
10a13e952c0925b8183537773fda0c91,низкие,Средний счёт:700–800 ₽,750.0,
585fadb33fe132f9a73cdd7441df1926,средние,Средний счёт:650–750 ₽,700.0,
9c6493aa376cf4da5f2d931effa114c2,,Средний счёт:от 900 ₽,900.0,
be333652c5f3ae57fe6d093e970c8697,выше среднего,Средний счёт:900–1000 ₽,950.0,
1e89d7a0ac94af8ee9460709fcea84f8,ниже среднего,Средний счёт:1150–1250 ₽,1200.0,
152daf92b3f59396fcffb4e22be1e20e,ниже среднего,Средний счёт:1600–1700 ₽,1650.0,
f81d2abab541ad0a5c5bd05a27e2bca5,,Средний счёт:от 1200 ₽,1200.0,
f53ea0c04ab8f6fc73c9b22ddf784f21,выше среднего,Средний счёт:от 1350 ₽,1350.0,
152fb873578251d9c70191764e19e2cb,ниже среднего,Цена чашки капучино:197–227 ₽,,212.0
e07cbdf92641a4d71bd00a20fe5eee9f,средние,Средний счёт:от 400 ₽,400.0,
fc578e1a8254daa02411550137032f82,высокие,,,
d88f08c7560dae5764611c19877854df,ниже среднего,Средний счёт:550–650 ₽,600.0,
5bb3b36a1c2137dfbf4e3b3afe168177,,Средний счёт:450–550 ₽,500.0,
0ff6bcdf6203b59d9f7a71c65fe59758,,Средний счёт:1100–1200 ₽,1150.0,
eebfea5f66c26004ff5e24137a9d2b78,средние,Средний счёт:от 500 ₽,500.0,
6ee74aef445608097782eb908af5d46b,выше среднего,Средний счёт:900–1000 ₽,950.0,
b0bdcc38c4c7d2328ab108af921dc365,низкие,Средний счёт:350–450 ₽,400.0,
6311fa5731c9106eaf7ee74b0d3952f6,выше среднего,Средний счёт:1000–1100 ₽,1050.0,
79557ad8a68ae15d4add3b798ad401bb,средние,Средний счёт:550–650 ₽,600.0,
0ed82f0028e5eff122efbc0c7f52ac9f,средние,Средний счёт:750–850 ₽,800.0,
e2b3a1d60de231b88abb15d9fa5aaba6,,Средний счёт:1900–2000 ₽,1950.0,
52e782e3ab51d3d42c7f3c769c701663,,Средний счёт:1400–1500 ₽,1450.0,
7429c3542a720df2f3a822205a1cf5d4,высокие,Средний счёт:600–700 ₽,650.0,
08ca56288edb8a56f7207d87ca72898d,средние,Средний счёт:от 800 ₽,800.0,
5e98247d9fc96e3af50e5a885b995e98,,Средний счёт:1300–1400 ₽,1350.0,
4635ffbdcd24bf39cce5aeff59b70d5c,,Средний счёт:2000–2100 ₽,2050.0,
8e6191ee097d22d51be11ad1cfe3f023,,Средний счёт:1500–1600 ₽,1550.0,
c4bf18d9a672aeb666ffabd004e4b381,ниже среднего,Цена чашки капучино:187–217 ₽,,202.0
1ce261dd207187997b5b460a005f96d7,,Средний счёт:1150–1250 ₽,1200.0,
dce8fff8c18f90338239f3323b7dbfaf,средние,Средний счёт:350–450 ₽,400.0,
7356d6a20d4ff4415981f54aa8c70f5b,выше среднего,Цена чашки капучино:161–191 ₽,,176.0
586e7ba00ca73bd4a4857a4aabdd23ad,высокие,Средний счёт:от 1000 ₽,1000.0,
b9f5690e1f9ee3349dd4a724d8094d57,средние,Средний счёт:от 2250 ₽,2250.0,
543da7cab1045c4e92d7b176517d2f69,,Средний счёт:550–650 ₽,600.0,
fbb2f3e65904948777038e1ffe33bbfc,средние,Средний счёт:от 900 ₽,900.0,
212e8c9e034d285dc73571c30f0867d2,выше среднего,Средний счёт:500–600 ₽,550.0,
e3663a59246f3d60c267dd64204b6784,средние,Средний счёт:900–1000 ₽,950.0,
0888290093d940c41ac966f151420e42,,Средний счёт:от 750 ₽,750.0,
d6e3f0bfb815d5a54114af19afd41275,,Средний счёт:1100–1200 ₽,1150.0,
f7356c336ea0e4e496c805e0d3c3ced5,средние,,,
90ed2ade48c15e3ad2c0fa66c8fc4427,средние,Средний счёт:700–800 ₽,750.0,
687f09dfdbfbb946a7e995500668e778,выше среднего,Средний счёт:от 650 ₽,650.0,
151f0a8674770dd5ebcff8a467967610,средние,Средний счёт:900–1000 ₽,950.0,
04699466176c65607893596fa935c325,средние,Средний счёт:650–750 ₽,700.0,
c887d6c49257f95b1d69dfba13222d53,средние,Средний счёт:450–550 ₽,500.0,
67aed649ca3a8516a8fdc4925e0d6862,,Средний счёт:700–800 ₽,750.0,
1f67554d1f8131a5644bbcf806f6dab9,ниже среднего,Средний счёт:950–1050 ₽,1000.0,
a349fc76b11f41b836292408fc2d1926,выше среднего,Средний счёт:1700–1800 ₽,1750.0,
c368ef9dd71ec17434f49e51a86c918d,ниже среднего,Средний счёт:от 250 ₽,250.0,
004dc85e0e0f615fc227f1d636781140,высокие,Средний счёт:2350–2450 ₽,2400.0,
eb7547b25ebf5f1802cb13a08469453b,средние,Средний счёт:от 1750 ₽,1750.0,
e7628169be8a1a5c03ca5dea33fb02b2,высокие,Средний счёт:от 1550 ₽,1550.0,
57b675997033b927d058b9d5864b9c7b,средние,Средний счёт:600–700 ₽,650.0,
74503500c3cb524664938b62dff88c89,средние,Средний счёт:600–700 ₽,650.0,
e2955f69a860157ed1e03a2ac3cc47d2,средние,Средний счёт:от 350 ₽,350.0,
3514af5f7c9b18a67dccfc02c54f2c6b,выше среднего,Средний счёт:1000–1100 ₽,1050.0,
62fd7b2c5cbe50fb27d595b9eb6a81df,средние,Средний счёт:650–750 ₽,700.0,
171ba10cda1b65dcb1b5c8fabfe21080,высокие,Средний счёт:1500–1600 ₽,1550.0,
cdf050db2fb444f12a273f905a00b6a6,средние,Средний счёт:от 1700 ₽,1700.0,
b504e8616b0860a04ea45f051cfc9fef,,Средний счёт:от 1150 ₽,1150.0,
9e23d2ab77c887483831efff9d4e32e5,выше среднего,,,
764de411cf1ab5e6868a6d365ab76d91,средние,Средний счёт:от 900 ₽,900.0,
82e3655d2a60cfd0386585e5dd26dfe3,выше среднего,Средний счёт:1050–1150 ₽,1100.0,
51858fca450ce38d0708dcc5a5c3a776,,Средний счёт:1000–1100 ₽,1050.0,
2895634fd8b4f82efa1ecde3d9a3d9c2,средние,Средний счёт:1800–1900 ₽,1850.0,
61c06ed40f5b318a52c11c579fc674ac,,Средний счёт:300–400 ₽,350.0,
628167eab90482cdade10b5e2ef9d00d,средние,Средний счёт:300–400 ₽,350.0,
0444936f198d736c46f1d074e94075cc,средние,Средний счёт:1400–1500 ₽,1450.0,
9d6482fea2e5497556945ca054be4ff7,выше среднего,Средний счёт:600–700 ₽,650.0,
3b1a40c0fc0369e2d551e65561ed3c81,средние,Средний счёт:от 1350 ₽,1350.0,
cd2882374b9bd4137cbd406929f642f6,выше среднего,Средний счёт:2800–2900 ₽,2850.0,
545df9c1903af9fcfd8b6789c05350f8,высокие,Средний счёт:1100–1200 ₽,1150.0,
b8b26f030245fb80d5d8149470918871,ниже среднего,Цена чашки капучино:93–123 ₽,,108.0
24198af96cd3e1247d835e5cc97b647a,высокие,Средний счёт:от 2200 ₽,2200.0,
f5c7211acbd6d21720f146128ac519a5,,Средний счёт:500–600 ₽,550.0,
d726978e68a04fdaee39e4810d21ba72,ниже среднего,Средний счёт:600–700 ₽,650.0,
0e045a330590da1145b3b3238f4e7e77,низкие,Средний счёт:350–450 ₽,400.0,
04428b1b825b760198c807e53539e26a,выше среднего,Средний счёт:850–950 ₽,900.0,
f53cf5e8f4d6979ac21dc43f667ed8c7,средние,Цена чашки капучино:129–159 ₽,,144.0
e47aaabc5a693b9bb48cf99ade6dce6b,,Цена чашки капучино:203–233 ₽,,218.0
ba719bb5e489768dc8ebd0d664aab9c1,средние,Средний счёт:1600–1700 ₽,1650.0,
a526639b4ff90cf142f1de829d0e6c18,высокие,Средний счёт:3950–4050 ₽,4000.0,
a0399fdb64c183638c0af3a4f0293e77,,,,
c42b9def4dcbf7bdb2a5125b4de87596,,Средний счёт:300–400 ₽,350.0,
c703acee47e0578bfdb37e671642c7b1,выше среднего,Средний счёт:от 650 ₽,650.0,
32ba858f75f0a56b1936c229aed8eb41,средние,Средний счёт:1200–1300 ₽,1250.0,
9528f63e9bc8c7f24f2dd6420f5e9c85,средние,Средний счёт:350–450 ₽,400.0,
866789bd6e4250f94abf7ef7d3324c0c,выше среднего,Средний счёт:1350–1450 ₽,1400.0,
d0825ab132a3072266a0aaa0fd6767d5,средние,Средний счёт:1000–1100 ₽,1050.0,
ac9d6d14dd18e540abe9a26196926d1f,ниже среднего,Цена чашки капучино:163–193 ₽,,178.0
d108d4ad7bc96ed1c5d5b4483fa7e70f,,,,
aeeea915dc4adb256a3685bd915bb345,выше среднего,Средний счёт:от 450 ₽,450.0,
ac7ba104c680d39fab0d849286f4e6f1,средние,Средний счёт:от 2000 ₽,2000.0,
3d2b2a62685e4280d0a8cba8b72a1988,выше среднего,Средний счёт:1400–1500 ₽,1450.0,
34cd65aafe0725d23aebe34e3336c997,средние,Средний счёт:от 800 ₽,800.0,
3116d60f8f9d962ac3e2dc322ed4ae4c,,Средний счёт:900–1000 ₽,950.0,
690e1eddae686157ffbfad9e4efdfb6a,средние,Средний счёт:2400–2500 ₽,2450.0,
7eba392d274b063abe92b2654f1152bf,,Средний счёт:350–450 ₽,400.0,
4f042eaf05f6e0e5a4f880003d5f19a4,выше среднего,Средний счёт:500–600 ₽,550.0,
019df9452de368bbeb7ce37ebdd6978a,,Средний счёт:900–1000 ₽,950.0,
dbcd11257dd1a4e232349769f89330aa,средние,Средний счёт:от 1550 ₽,1550.0,
31fabece8b245b3a8ad7397407d41539,средние,Средний счёт:400–500 ₽,450.0,
f6951da1bdd12e79a847dd5365fc2243,выше среднего,Средний счёт:2150–2250 ₽,2200.0,
cb4c0a7a584412124d1b4f8a6f985f76,ниже среднего,Средний счёт:400–500 ₽,450.0,
f5f8724ba579b54f517b4347ead54f78,выше среднего,Цена чашки капучино:195–225 ₽,,210.0
62ecdf49f087a480366b01c1fa2ad0c2,средние,Средний счёт:200–300 ₽,250.0,
ee2d0d8147e5e94955f0b1893834f41d,средние,Средний счёт:1000–1100 ₽,1050.0,
bc7c40a8268cf701c799ccf7b303704b,высокие,Средний счёт:от 750 ₽,750.0,
51a60b00bdb297c8c5adcd8decec8062,средние,Средний счёт:от 450 ₽,450.0,
5770fdf78a77d4258f27f458deda09b8,средние,Средний счёт:400–500 ₽,450.0,
f46bfa31982a123c1ef2847aa566db86,средние,Средний счёт:1800–1900 ₽,1850.0,
cac5bb02e27853c8176d37cda950afe0,,Средний счёт:1800–1900 ₽,1850.0,
8eff707149e848d344023b27d6d0dd45,,Средний счёт:400–500 ₽,450.0,
f2e1606669d81dad5a3047f28e4523fc,,Средний счёт:от 800 ₽,800.0,
33af58cfe6801ec009a9fae7ae254089,,,,
c4ed6c0db4842060e13318ab154427f0,,Средний счёт:от 600 ₽,600.0,
cdcbba19a46807cd7f38f0205e256c25,высокие,Средний счёт:от 3750 ₽,3750.0,
93277a74d8f00d802a5b8a72897fcb73,средние,,,
80eb563a707bd0e95fd5a47c009bf449,выше среднего,,,
21f1564c4f23a3988d38eb909dd2b3e0,средние,Средний счёт:500–600 ₽,550.0,
b5ef9afea8cbef112c87321cc291d3e2,выше среднего,Средний счёт:от 2750 ₽,2750.0,
534d395224ea2bcd32da36817115311a,,Средний счёт:500–600 ₽,550.0,
0dd2dbd18220a40f793c5fdd50340b4e,средние,Средний счёт:1850–1950 ₽,1900.0,
5ddbde1c44efbf2961096eeda2e97df7,выше среднего,Средний счёт:от 550 ₽,550.0,
7f46948dd29ba843d4de3370f04b3dd2,средние,Средний счёт:от 500 ₽,500.0,
3f30bc3cbc3898e661ef371aa353890c,средние,Средний счёт:650–750 ₽,700.0,
98b569559bdfa2cb3160f0c727af9139,средние,Средний счёт:750–850 ₽,800.0,
591e45ef1894a18ea3a2d694da411f00,высокие,Средний счёт:1450–1550 ₽,1500.0,
1c9ad8836bbd501a911b872ddc129a63,ниже среднего,Средний счёт:400–500 ₽,450.0,
8824477569d30299a444b9ecadfedada,средние,Средний счёт:от 1100 ₽,1100.0,
14f4be7dc26760cb02b234fe00ea213f,низкие,Средний счёт:650–750 ₽,700.0,
a90a31a18245e27bc9a2bc14db326237,низкие,Средний счёт:от 500 ₽,500.0,
ff346fcf377e6a2a4f7b57f35f7f0f6f,высокие,Средний счёт:1450–1550 ₽,1500.0,
c85ade4c029ce4cd4559fea5375d70c8,выше среднего,Средний счёт:2700–2800 ₽,2750.0,
ccf6181b5f1b2f87169381ad5c56a090,выше среднего,Средний счёт:450–550 ₽,500.0,
d13e72e4fab4500d5376fe2973c3dc9c,средние,Средний счёт:от 1400 ₽,1400.0,
20a91f588a29b641b9f6a2ae70d64a2a,ниже среднего,Средний счёт:1250–1350 ₽,1300.0,
fb077b2d38c59f78c10c820fc67b9669,средние,Средний счёт:700–800 ₽,750.0,
66d0da6efb1960f152808f514c65c73d,ниже среднего,Средний счёт:850–950 ₽,900.0,
1d5147bfac5cbac4e092b933fc5ce1a1,высокие,Средний счёт:2750–2850 ₽,2800.0,
a8f73b0b7ebde485341a1684e7935685,ниже среднего,,,
189618dcd61e84d342ef3c1d26d1a181,средние,Цена чашки капучино:117–147 ₽,,132.0
73e8260aa5074fc41c20c2f1948aefe9,средние,Средний счёт:1600–1700 ₽,1650.0,
7dc52f7ad7c6cb06e41923b0907350ed,,,,
50d45bc204cbc3ffb4ffa8b304669cab,ниже среднего,Средний счёт:от 1300 ₽,1300.0,
3b32e43a0219ee7c3d22bf317fb3dc8b,средние,Средний счёт:400–500 ₽,450.0,
7e445a42302d0e28f3c6c653dce2dd7d,средние,Средний счёт:1150–1250 ₽,1200.0,
437472917fbf5067a80831e49daf4980,ниже среднего,Средний счёт:1650–1750 ₽,1700.0,
819c3149e9702a0bc246c4b847823538,,Средний счёт:1400–1500 ₽,1450.0,
75c12e9c9429ee41e1463a191e7a219a,выше среднего,Средний счёт:от 1650 ₽,1650.0,
c1247dee2a94942f67e1cf5e679a85d6,средние,Средний счёт:1550–1650 ₽,1600.0,
1ca72a7c83f78a75d69958d71c972874,средние,Средний счёт:550–650 ₽,600.0,
9e045f06f304ed85f07204eb529bb782,средние,Средний счёт:от 950 ₽,950.0,
55b4902438eccdbb4802124efc052bf3,выше среднего,Средний счёт:1000–1100 ₽,1050.0,
19731e02128536c70a349b36e1dfb4cd,выше среднего,Средний счёт:800–900 ₽,850.0,
296625268f283c9b07296d12e54d1c16,средние,Средний счёт:1250–1350 ₽,1300.0,
a5730c8d5573365c77823d8e660fafc5,выше среднего,Средний счёт:950–1050 ₽,1000.0,
f5ccf8b706bcba95e0422c7c5bd59388,средние,Средний счёт:600–700 ₽,650.0,
914c38aebd45c16219a1c087a9c34a48,,Средний счёт:2600–2700 ₽,2650.0,
091169f1a4fcb70e2001e0add24201f5,ниже среднего,Средний счёт:от 750 ₽,750.0,
f8a02e302dd9180989323f1a4d2ec642,высокие,Средний счёт:3350–3450 ₽,3400.0,
f426d01eb8c902a0fd6d6a3b112eccba,ниже среднего,Средний счёт:от 1000 ₽,1000.0,
108d544f4139af737d5bb010d47faea2,ниже среднего,Средний счёт:от 700 ₽,700.0,
483642609df012d160e1159da2389001,,Средний счёт:от 900 ₽,900.0,
82d7c644948cb60784dba66ed42c90de,,Средний счёт:350–450 ₽,400.0,
bd73ecd69b9ed94d12ceb647fdda7936,средние,Средний счёт:от 1200 ₽,1200.0,
3634d533e3c6cb819586bc3c58a4a62a,выше среднего,Средний счёт:300–400 ₽,350.0,
beb072c1a0b12065170d60e6260d3bef,средние,Средний счёт:400–500 ₽,450.0,
009a7e66fbd749887a4e19f5a87519d9,высокие,Средний счёт:1150–1250 ₽,1200.0,
fc6e6af875689d3a4f2217dffbb122e9,средние,Средний счёт:750–850 ₽,800.0,
97924befa0770bb3177fa47ff3aec311,ниже среднего,Средний счёт:600–700 ₽,650.0,
69334f5c88a0ccf685bcf3417d668a60,высокие,,,
bfa74e6a684c4dcf1ce0276a530e901d,выше среднего,Средний счёт:400–500 ₽,450.0,
99a9dc5914b9cb3750ac29f85263295f,ниже среднего,Средний счёт:250–350 ₽,300.0,
903ba0aed8951a65a6ee469b06d7e78a,средние,Средний счёт:от 1150 ₽,1150.0,
8495e06f1dd5e6b4774d616817426799,низкие,Средний счёт:700–800 ₽,750.0,
a728e9784049e9bb14efa803321ab28e,,Средний счёт:1000–1100 ₽,1050.0,
9b715d08c5e62fc99ed14bd41a6c0f0b,,Средний счёт:650–750 ₽,700.0,
f7360b26cdc24433b416f3ab203ed72d,средние,Средний счёт:1200–1300 ₽,1250.0,
228ebb95200207c7cd4ccdc67634722c,,Средний счёт:400–500 ₽,450.0,
e654888040a8df34c704190d75f695b3,,Средний счёт:700–800 ₽,750.0,
cb62019d36912bd6d7ce92bf7f2bc597,выше среднего,,,
ea85ff3240eb0aaff94d4a3afcdd94a0,,Средний счёт:от 500 ₽,500.0,
a85bbd6333bf7d699ae1be8bcfb4f1d0,средние,Средний счёт:450–550 ₽,500.0,
60a77c34af34ed12781de28ea8313535,ниже среднего,Цена чашки капучино:172–202 ₽,,187.0
cdc2d5d7f48efa824531c399b1e596be,ниже среднего,Средний счёт:1600–1700 ₽,1650.0,
bec5aa84762380b7846c9a2a1eb6e3e8,,Средний счёт:от 650 ₽,650.0,
03408787f17f6c617bb7b24d101d6678,высокие,Средний счёт:2450–2550 ₽,2500.0,
c96feb9e11ea0e70e2d025d3e4fa9d6a,ниже среднего,Средний счёт:550–650 ₽,600.0,
1099db3702e8efa5996d1fa67ec16f74,средние,Средний счёт:1100–1200 ₽,1150.0,
5f1d8cc0759f7b197c37f6a464418d00,выше среднего,Средний счёт:от 750 ₽,750.0,
9f8e08c0fb13718188fe9b2e82f3a8a3,низкие,Средний счёт:350–450 ₽,400.0,
31f234aecf70751697dd6ff0bbffe38d,низкие,Средний счёт:450–550 ₽,500.0,
f021fad85303cee2b0799d5289826329,средние,Средний счёт:от 1700 ₽,1700.0,
8253ee51154b4f6d593479234716e307,выше среднего,Средний счёт:от 1350 ₽,1350.0,
20cab7dc0dc29de8a9624ad5f3c2b820,выше среднего,Средний счёт:от 500 ₽,500.0,
e23bfefe1dad984467fa83356be8b76a,низкие,Средний счёт:400–500 ₽,450.0,
cb2abd7580ef24c168715b6d08036ac4,средние,Средний счёт:850–950 ₽,900.0,
4ef9dc73b67fba8ce5736628f8e4c875,,Средний счёт:от 1150 ₽,1150.0,
72ada97192ba5ac3c4871bb5aad9676b,средние,Средний счёт:1250–1350 ₽,1300.0,
f8b3f36b7900f206989c6d80a26dc4fd,ниже среднего,Цена чашки капучино:145–175 ₽,,160.0
cb8c926f3d0b96f167d1e44a18df2582,,Цена чашки капучино:169–199 ₽,,184.0
e84168192e0fea947b01c9f1db6d5289,ниже среднего,Средний счёт:1700–1800 ₽,1750.0,
3df41317d37d12f2a44a30eeb9626ea9,выше среднего,Средний счёт:550–650 ₽,600.0,
83d303543b1bdcbfc66880d81bbf6d03,,Средний счёт:2250–2350 ₽,2300.0,
d05db941ae0c8ea5a0a719348a85881e,средние,Средний счёт:1700–1800 ₽,1750.0,
024e38acf998f55949ab4480c0698fd2,,Средний счёт:550–650 ₽,600.0,
2220a2d271ec86f4a6a52c5d1793f52b,средние,Средний счёт:500–600 ₽,550.0,
101721ae8ade9c789b01f561aa84c0fc,средние,,,
6d7ff543bfbe65a35b7f0364bf500e92,средние,Цена чашки капучино:100–130 ₽,,115.0
e3cbfaf140aaebee44241cda90776df4,высокие,Средний счёт:3400–3500 ₽,3450.0,
68212d76f1afe7e795ff4b916dd45b6d,средние,Средний счёт:от 1100 ₽,1100.0,
26934bdf5befa03568e62946123b0eb6,,Средний счёт:от 700 ₽,700.0,
e64d6ea9e14df448f3c2fe9e96f20d5c,,Средний счёт:450–550 ₽,500.0,
06c309588a7ee81f88178217adbeb18a,выше среднего,Цена чашки капучино:167–197 ₽,,182.0
fd1e74afea862748665b9d7738bf1d23,,Цена чашки капучино:156–186 ₽,,171.0
c527f8c6f3801fa6e0348cc7dfff22dd,выше среднего,Средний счёт:от 700 ₽,700.0,
4e5483b9d1b30779e303fee02f0253d7,ниже среднего,Средний счёт:1300–1400 ₽,1350.0,
26a8e2ac4d1dfdf253758cc6ba9dddc4,низкие,Средний счёт:500–600 ₽,550.0,
5cc3af6781907b99b12d42c87f6d1996,ниже среднего,Средний счёт:от 1300 ₽,1300.0,
c6282941572c4013413ae967c7e47d1d,выше среднего,Средний счёт:от 950 ₽,950.0,
0a55cf071239f310a4282d4ebdb96738,высокие,Средний счёт:3550–3650 ₽,3600.0,
d826640e34e46b457a57d5a563512032,средние,Средний счёт:1000–1100 ₽,1050.0,
2e942d888fec77fc7c02b082b2ddc644,средние,Средний счёт:650–750 ₽,700.0,
333056cc82df677851e19a14d549eb44,выше среднего,Средний счёт:от 2000 ₽,2000.0,
0d0de6ab552774cf7227978b14924f97,низкие,Цена чашки капучино:94–124 ₽,,109.0
30c6311ab156923f216b101bbe8f84f3,выше среднего,Средний счёт:1000–1100 ₽,1050.0,
2d823bf4918087b93d9f86563d6b052c,выше среднего,Средний счёт:400–500 ₽,450.0,
0e5915ea8af0231a9a961b1d0c0db01d,,Средний счёт:1050–1150 ₽,1100.0,
d60891a158906f962179dfac77288fee,средние,Средний счёт:1450–1550 ₽,1500.0,
db15bd000609551212f0fadff8573064,ниже среднего,Средний счёт:900–1000 ₽,950.0,
9e804bde5f6ea71bfb49cdaa1e88ef17,выше среднего,Средний счёт:1150–1250 ₽,1200.0,
3879fe7c67c64e1231f634875ea20d00,,Средний счёт:350–450 ₽,400.0,
a02718f60f8e0ddfb60d8b09ee3c553a,высокие,Цена чашки капучино:79–109 ₽,,94.0
b02ff54ae9e4b630afacce5e0f52994a,,Средний счёт:350–450 ₽,400.0,
c77b7797b75cd58330f0616bbdb60a4a,,Средний счёт:650–750 ₽,700.0,
5e8e1f93c10dd3c762ca0f741a94e33e,средние,Средний счёт:1100–1200 ₽,1150.0,
689ee0a7501d62ca0ef98a94a645e725,выше среднего,Средний счёт:1200–1300 ₽,1250.0,
82ab81421541d91b5c74a3c25cd737f9,средние,Средний счёт:1700–1800 ₽,1750.0,
fb542275cc892e9e3c2aba042dee85e8,средние,Средний счёт:1100–1200 ₽,1150.0,
b6d91b5938e257e4d0f953d41f17083f,высокие,Средний счёт:от 2500 ₽,2500.0,
071ed4287760c90dcb71d41dca164e12,высокие,Средний счёт:от 1000 ₽,1000.0,
43b48a8d52f44c5f28d4c8a0c9238f25,средние,Средний счёт:1250–1350 ₽,1300.0,
bc74c37d732a119e42529a204632ed06,выше среднего,Средний счёт:900–1000 ₽,950.0,
9566f1947307e8e3ee0575594cbefe08,средние,Средний счёт:от 700 ₽,700.0,
